;pubmed_id;title;keywords;journal;abstract;conclusions;methods;results;copyrights;doi;publication_date;authors
131;31177849;A comparative study of lens management in the United Kingdom and India with regard to rhegmatogenous retinal detachment surgery.;['Rhegmatogenous retinal detachment', 'biometry', 'laser-assisted in situ keratomileusis', 'pars plana vitrectomy', 'phacovitrectomy'];European journal of ophthalmology;"Lens management in phakic patients with rhegmatogenous retinal detachments undergoing para plana vitrectomy surgery remains controversial among vitreoretinal surgeons. When combined phacovitrectomy is performed, the biometry decisions can be challenging both in the face of macula-off rhegmatogenous retinal detachments and previous refractive surgery. This study analyses current trends in practise.
A scenario-related survey was sent to all members of the British and Eire Association of Vitreoretinal Surgeons and to vitreoretinal surgeons in the northern Indian state of Punjab.
In post-laser-assisted in situ keratomileusis patients with a visually significant cataract and a macula-on rhegmatogenous retinal detachment, the majority of British and Eire Association of Vitreoretinal Surgeons members (67.3%) and surgeons in Punjab (91.4%) would perform a stand-alone para plana vitrectomy and defer cataract surgery. When a combined phacovitrectomy is performed in this scenario, the majority of British and Eire Association of Vitreoretinal Surgeons (68%) would implant an intraocular lens (using either Haigis-L or European Society of Cataract and Refractive Surgeons/American Society of Cataract and Refractive Surgeons calculators), whereas the majority of Punjab surgeons (79.3%) would leave the patient aphakic. In a patient with a cataract and macula-off rhegmatogenous retinal detachment undergoing combined phacovitrectomy surgery, without any previous refractive surgery, the majority of British and Eire Association of Vitreoretinal Surgeons members (47.3%) would use the opposite eye biometry, whereas most Punjab surgeons (62.7%) would leave the patient aphakic.
Vitreoretinal surgeons in both the United Kingdom and Punjab predominantly avoid combined surgery in rhegmatogenous retinal detachment cases, even when faced with a visually significant cataract. When combined phacovitrectomy is performed, most vitreoretinal surgeons preference using the opposite eye biometry for macula-off cases and Haigis-L (myope) or online calculators for post-laser-assisted in situ keratomileusis cases.";;;In post-laser-assisted in situ keratomileusis patients with a visually significant cataract and a macula-on rhegmatogenous retinal detachment, the majority of British and Eire Association of Vitreoretinal Surgeons members (67.3%) and surgeons in Punjab (91.4%) would perform a stand-alone para plana vitrectomy and defer cataract surgery. When a combined phacovitrectomy is performed in this scenario, the majority of British and Eire Association of Vitreoretinal Surgeons (68%) would implant an intraocular lens (using either Haigis-L or European Society of Cataract and Refractive Surgeons/American Society of Cataract and Refractive Surgeons calculators), whereas the majority of Punjab surgeons (79.3%) would leave the patient aphakic. In a patient with a cataract and macula-off rhegmatogenous retinal detachment undergoing combined phacovitrectomy surgery, without any previous refractive surgery, the majority of British and Eire Association of Vitreoretinal Surgeons members (47.3%) would use the opposite eye biometry, whereas most Punjab surgeons (62.7%) would leave the patient aphakic.;;10.1177/1120672119855209;2019-06-11;[{'lastname': 'Brent', 'firstname': 'Alexander J', 'initials': 'AJ', 'affiliation': 'Ophthalmology Department, University Hospitals of Leicester, Leicester, UK.'}, {'lastname': 'Bedi', 'firstname': 'Sahiba', 'initials': 'S', 'affiliation': 'Ophthalmology Department, Bombay City Eye Institute & Research Centre, Mumbai, India.'}, {'lastname': 'Wakefield', 'firstname': 'Matthew', 'initials': 'M', 'affiliation': 'Ophthalmology Department, Salisbury NHS Foundation Trust, Salisbury, UK.'}, {'lastname': 'Banerjee', 'firstname': 'Somnath', 'initials': 'S', 'affiliation': 'Ophthalmology Department, University Hospitals of Leicester, Leicester, UK.'}]
132;31166423;Sutureless transconjunctival intrascleral intraocular lens fixation: the modified Yamane technique.;[];Arquivos brasileiros de oftalmologia;"To evaluate the efficacy and safety of the modified Yamane technique with sutureless transconjunctival intrascleral intraocular lens fixation.
Sutureless transconjunctival intrascleral haptic fixated intraocular lens implantation was performed in patients with aphakia and dislocated intraocular lenses. A clear corneal incision (2.8 mm) was made into the temporal quadrant and a three-piece intraocular lens was implanted into the anterior chamber. The haptics of the intraocular lens were externalized with a 27 G needle via transconjunctival scleral tunnels at the 6 and 12 o'clock positions. The transconjunctival scleral tunnels were prepared to conform to the haptic position and curvature. The site of the scleral tunnels was 2mm from the limbus with a length of 2 mm in the sclera and was aimed at the end of the posterior chamber. The tips of the haptics were cauterized to create a terminal knob. The haptics were pushed back and the knobs were implanted into the scleral tunnels.
The study cohort included 21 patients with unilateral aphakia and dislocated intraocular lenses. All patients were examined postoperatively and at postoperative day 1, day 7, month 1, and month 3. All examinations revealed formation of the anterior chamber and well-centralized intraocular lenses. No haptic-related complications of exposure, foreign body sensation, or discomfort were observed.
Sutureless transconjunctival intrascleral haptic fixated intraocular lensimplantation is an effective, safe, and practical surgical alternative. This technique was superior to the Yamane method with regard to comfort and surgical duration. Further studies with longer follow-up evaluations are warranted to verify long-term complications.";Sutureless transconjunctival intrascleral haptic fixated intraocular lensimplantation is an effective, safe, and practical surgical alternative. This technique was superior to the Yamane method with regard to comfort and surgical duration. Further studies with longer follow-up evaluations are warranted to verify long-term complications.;;The study cohort included 21 patients with unilateral aphakia and dislocated intraocular lenses. All patients were examined postoperatively and at postoperative day 1, day 7, month 1, and month 3. All examinations revealed formation of the anterior chamber and well-centralized intraocular lenses. No haptic-related complications of exposure, foreign body sensation, or discomfort were observed.;;10.5935/0004-2749.20190072;2019-06-06;[{'lastname': 'Yavuzer', 'firstname': 'Kamil', 'initials': 'K', 'affiliation': 'Van Education and Research Hospital, Department of Ophthalmology, Van, Turkey.'}, {'lastname': 'Evcimen', 'firstname': 'Yusuf', 'initials': 'Y', 'affiliation': 'Van Education and Research Hospital, Department of Ophthalmology, Van, Turkey.'}]
136;31146935;Unusual case of ruptured posterior lenticonus.;[];Journal of cataract and refractive surgery;A 14-year-old boy presented with a report of sudden-onset loss of vision in the right eye for the previous 10 days. The patient was diagnosed with a total cataract and ruptured posterior lenticonus. Lenticular aspiration was performed with an irrigation/aspiration probe. This was followed by anterior vitrectomy and implantation of 1-piece intraocular lens (IOL) in the capsular bag. Postoperatively, the patient had a good visual outcome with no evidence of intraocular inflammation. Although ruptured posterior lenticonus is a rare condition, it can be encountered in day-to-day-practice. In such cases, implantation of a 1-piece IOL can be safely performed if the anterior vitreous is meticulously removed.;;;;Copyright © 2019 ASCRS and ESCRS. Published by Elsevier Inc. All rights reserved.;10.1016/j.jcrs.2018.12.028;2019-05-31;"[{'lastname': 'Subudhi', 'firstname': 'Praveen', 'initials': 'P', 'affiliation': 'Ruby Eye Hospital, Govinda Vihar, India; Hitech Medical College, Bhubaneswar, India; M.K.C.G. Medical College and Hospital, Berhampur, India; Ophthalmology Department, SDH Chatrapur, Odisha, India. Electronic address: subudhipraveen@gmail.com.'}, {'lastname': 'Khan', 'firstname': 'Zahiruddin', 'initials': 'Z', 'affiliation': 'Ruby Eye Hospital, Govinda Vihar, India; Hitech Medical College, Bhubaneswar, India; M.K.C.G. Medical College and Hospital, Berhampur, India; Ophthalmology Department, SDH Chatrapur, Odisha, India.'}, {'lastname': 'Patro', 'firstname': 'Sweta', 'initials': 'S', 'affiliation': 'Ruby Eye Hospital, Govinda Vihar, India; Hitech Medical College, Bhubaneswar, India; M.K.C.G. Medical College and Hospital, Berhampur, India; Ophthalmology Department, SDH Chatrapur, Odisha, India.'}, {'lastname': 'Rao Subudhi', 'firstname': 'B Nageswar', 'initials': 'BN', 'affiliation': 'Ruby Eye Hospital, Govinda Vihar, India; Hitech Medical College, Bhubaneswar, India; M.K.C.G. Medical College and Hospital, Berhampur, India; Ophthalmology Department, SDH Chatrapur, Odisha, India.'}, {'lastname': 'Sitaram', 'firstname': 'Silla', 'initials': 'S', 'affiliation': 'Ruby Eye Hospital, Govinda Vihar, India; Hitech Medical College, Bhubaneswar, India; M.K.C.G. Medical College and Hospital, Berhampur, India; Ophthalmology Department, SDH Chatrapur, Odisha, India.'}]"
137;31146719;How many challenges we may encounter in anterior megalophthalmos with white cataract: a case report.;['Anterior megalophthalmos', 'Cataract', 'Dislocation', 'Haigis formula', 'IOL power calculation', 'Intraocular lens'];BMC ophthalmology;"Anterior megalophthalmos is a rare congenital disease which mainly features enlargement of the anterior segment. Cataract surgeries in anterior megalophthalmos can be challenging due to the anatomical anomalies while the studies upon the surgical design have been less integrated.
A 37-year-old woman presented with progressively blurred vision in the right eye after a transient fever 10 months ago. Her ocular history included hypermetropia with a spherical equivalent of + 4.00 OU. The review of systems showed bilateral varus deformity of distal interphalangeal joints on the little fingers. The patient denied family history of hereditary ocular diseases and her sister was born with uterus didelphys. On initial examinations, the corrected distance visual acuity was hand motion OD and 20/33 OS. Her intraocular pressure was 15 mmHg OD and 16 mmHg OS. Horizontal corneal diameter was 14 mm OD and 13.88 mm OS and axial length was 24.87 mm OD and 25 mm OS. Anterior segment photography showed bilateral iridal atrophy with deficiency in pupillary dilation and white cortically mature cataract in the right eye. Inspection by anterior segment optical coherence tomography indicated bilateral augmented anterior chambers with backward iridal concave on horizontal orientation. Ultrasound biomicroscopy showed partially peripheral anterior synechiae and pectinate ligaments at chamber angle in both eyes and opacified lens with the apparently elongated suspensory ligaments in the right eye. A deliberately selected 1-piece foldable intraocular lens (IOL) with frame haptics was implanted after phacoemulsification for good IOL stability. During the follow-up, the visual rehabilitation appeared relatively good and a lower degree of IOL dislocation comparing with existing reports was verified by OPD-Scan III aberrometry.
We presented the challenges and the original findings from a case of congenital anterior megalophthalmos with white cataract who underwent phacoemulsification and IOL implantation. This is the first report describing the comparison of the different IOL power calculation formulas in anterior megalophthalmos. Compared to the SRK/T and the Holladay II formulas, the Haigis formula could be a more accurate choice for the IOL calculation in anterior megalophthalmos according to our case. Moreover, the deliberate selection of IOLs is essential for IOL stability in these patients.";;;;;10.1186/s12886-019-1133-y;2019-05-31;"[{'lastname': 'Miao', 'firstname': 'Ao', 'initials': 'A', 'affiliation': 'Eye Institute, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, 200031, China.\nDepartment of Ophthalmology and Visual Science, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, China.\nNHC Key Laboratory of Myopia (Fudan University), Shanghai, China.\nKey Laboratory of Myopia, Chinese Academy of Medical Sciences, Shanghai, China.'}, {'lastname': 'Zhang', 'firstname': 'Keke', 'initials': 'K', 'affiliation': 'Eye Institute, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, 200031, China.\nDepartment of Ophthalmology and Visual Science, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, China.\nNHC Key Laboratory of Myopia (Fudan University), Shanghai, China.\nKey Laboratory of Myopia, Chinese Academy of Medical Sciences, Shanghai, China.'}, {'lastname': 'Yu', 'firstname': 'Jifeng', 'initials': 'J', 'affiliation': ""Department of Ophthalmology, Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, Beijing, China.""}, {'lastname': 'He', 'firstname': 'Wenwen', 'initials': 'W', 'affiliation': 'Eye Institute, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, 200031, China.\nDepartment of Ophthalmology and Visual Science, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, China.\nNHC Key Laboratory of Myopia (Fudan University), Shanghai, China.\nKey Laboratory of Myopia, Chinese Academy of Medical Sciences, Shanghai, China.'}, {'lastname': 'Lu', 'firstname': 'Yi', 'initials': 'Y', 'affiliation': 'Eye Institute, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, 200031, China. luyieent@126.com.\nDepartment of Ophthalmology and Visual Science, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, China. luyieent@126.com.\nNHC Key Laboratory of Myopia (Fudan University), Shanghai, China. luyieent@126.com.\nKey Laboratory of Myopia, Chinese Academy of Medical Sciences, Shanghai, China. luyieent@126.com.'}, {'lastname': 'Zhu', 'firstname': 'Xiangjia', 'initials': 'X', 'affiliation': 'Eye Institute, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, 200031, China. zhuxiangjia1982@126.com.\nDepartment of Ophthalmology and Visual Science, Eye and ENT Hospital, Shanghai Medical College, Fudan University, Shanghai, China. zhuxiangjia1982@126.com.\nNHC Key Laboratory of Myopia (Fudan University), Shanghai, China. zhuxiangjia1982@126.com.\nKey Laboratory of Myopia, Chinese Academy of Medical Sciences, Shanghai, China. zhuxiangjia1982@126.com.'}]"
138;31145344;Torsional and burst mode phacoemulsification for patients with hard nuclear cataract: A randomized control study.;[];Medicine;This article aims to evaluate the outcomes of torsional and burst mode phacoemulsification in hard nuclear cataracts.Eighty eyes with grade IV or V nuclear opalescence were treated with phacoemulsification and intraocular lens implantation using conventional mode (Group A, n = 40) or torsional and burst mode phacoemulsification (Group B, n = 40). For good visualization of anterior capsule, trypan blue was injected to the anterior chamber before continuous circular capsulorhexis. The mean cumulative dissipated energy and ultrasound time were recorded. The best-corrected visual acuity, endothelial cell density, and central corneal thickness were measured before and at 1 month after surgery.The cumulative dissipated energy and ultrasound time of Group B were significantly less than that of Group A. The postoperative best-corrected visual acuities of the 2 groups were comparable. At 1 month after surgery, the changes in the endothelial cell density were significantly greater in Group A than in Group B, and the changes in the central corneal thickness were not significantly different between the 2 groups.Torsional and burst mode is a safe and effective surgical method for treating hard cataracts.;;;;;10.1097/MD.0000000000015870;2019-05-31;[{'lastname': 'Yang', 'firstname': 'Wan-Ju', 'initials': 'WJ', 'affiliation': 'Department of Ophthalmology, Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology.'}, {'lastname': 'Wang', 'firstname': 'Xing-Hua', 'initials': 'XH', 'affiliation': 'Department of Ophthalmology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei Province, China.'}, {'lastname': 'Zhao', 'firstname': 'Fang', 'initials': 'F', 'affiliation': 'Department of Ophthalmology, Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology.'}, {'lastname': 'Mei', 'firstname': 'Zhong-Ming', 'initials': 'ZM', 'affiliation': 'Department of Ophthalmology, Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology.'}, {'lastname': 'Li', 'firstname': 'Shuang', 'initials': 'S', 'affiliation': 'Department of Ophthalmology, Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology.'}, {'lastname': 'Xiang', 'firstname': 'Yi', 'initials': 'Y', 'affiliation': 'Department of Ophthalmology, Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology.'}]
139;31138081;Intraocular Lens Techniques in Pediatric Eyes with Insufficient Capsular Support: Complications and Outcomes.;['IOL', 'aphakia', 'capsular support', 'cataract', 'pediatric'];Seminars in ophthalmology;Intraocular lens (IOL) implantation in pediatric eyes with insufficient capsular support is challenging and there are multiple IOL options. These include placement of an IOL within the capsular bag with a capsular tension ring, a scleral-fixated posterior-chamber IOL (PCIOL) with or without capsular tension segment or ring, an intra-scleral fixated IOL, an iris-sutured PCIOL, or an anterior chamber iris-fixated IOL. We reviewed 48 articles and 1 published abstract describing the surgical techniques, complications and visual outcomes of different IOL options in the management of aphakic pediatric eyes with insufficient capsular support. The present review found that the visual acuity outcomes of various IOLs are comparable. Furthermore, each IOL design and surgical technique has different rates of serious complications, including IOL dislocation or decentration, intraocular hemorrhage, glaucoma, endothelial cell loss, and endophthalmitis. An understanding of the risks and benefits of different IOL designs is important for counseling patients and families.;;;;;10.1080/08820538.2019.1620809;2019-05-30;"[{'lastname': 'Cheung', 'firstname': 'Crystal Sy', 'initials': 'CS', 'affiliation': ""a Department of Ophthalmology , Boston Children's Hospital, Harvard Medical School , Boston , MA , USA.""}, {'lastname': 'VanderVeen', 'firstname': 'Deborah K', 'initials': 'DK', 'affiliation': ""a Department of Ophthalmology , Boston Children's Hospital, Harvard Medical School , Boston , MA , USA.""}]"
140;31124487;A clinicopathological study of persistent fetal vasculature.;['Congenital cataract', 'histopathology of persistent fetal vasculature', 'persistent fetal vasculature', 'persistent hyperplastic primary vitreous'];Indian journal of ophthalmology;"To study the clinicopathological findings of Persistent Fetal Vasculature (PFV) in patients with congenital cataract and PFV.
Six eyes with anterior or combined PFV with cataract underwent phacoaspiration with primary posterior capsulotomy with anterior vitrectomy with intraocular lens implantation followed by histopathological evaluation of the PFV stalk and membrane.
Four and two patients had combined and anterior PFV respectively. There was no postoperative hyphema, vitreous haemorrhage, glaucoma or retinal detachment in six months. Haematoxylin and eosin staining showed inflammatory cells predominantly with extramedullary hematopoeisis and vascularisation.
We recommend IOL implantation in PFV, with early and aggressive amblyopia therapy.";;;;;10.4103/ijo.IJO_1375_18;2019-05-28;[{'lastname': 'Khurana', 'firstname': 'Surbhi', 'initials': 'S', 'affiliation': 'Department of Ophthalmology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.'}, {'lastname': 'Gupta', 'firstname': 'Parul Chawla', 'initials': 'PC', 'affiliation': 'Department of Ophthalmology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.'}, {'lastname': 'Vaiphei', 'firstname': 'Kim', 'initials': 'K', 'affiliation': 'Department of Histopathology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.'}, {'lastname': 'Singh', 'firstname': 'Ramandeep', 'initials': 'R', 'affiliation': 'Department of Ophthalmology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.'}, {'lastname': 'Ram', 'firstname': 'Jagat', 'initials': 'J', 'affiliation': 'Department of Ophthalmology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.'}]
141;31101021;Automated qualitative and quantitative assessment of posterior capsule opacification by Automated Quantification of After-Cataract II (AQUA II) system.;['AQUA', 'Automated quantification of after-cataract', 'Posterior capsule opacification', 'Retroillumination image'];BMC ophthalmology;"The present study aims to investigate an automated qualitative and quantitative assessment system (Automated Quantification of After-Cataract [AQUA II]) of posterior capsule opacification (PCO) in high-resolution digital retroillumination images and consequently reduce observer bias and increase accuracy of PCO grading.
A data set of 100 eyes with no to severe PCO was analysed. Ten eyes were consecutively photographed twice and ten images were rotated to give a total of 120 images for PCO assessment. Validity was determined by including subjective grading and repeatability was determined by evaluating the 20 additional images. Evaluation of posterior capsular opacification (EPCO), posterior capsule opacity (POCO) and AQUA I methods were included for comparative analysis of the data.
The system developed proved to classify six types of PCO. Validity was confirmed by a Pearson correlation coefficient of r = 0.95 (EPCO r = 0.93; POCO r = 0.72 and AQUA I r = 0.94). Repeatability was better in AQUA II (95% confidence interval [CI] for mean difference: 0.5 ± 1.2) than in subjective grading (95% CI for mean difference: 0.6 ± 1.7), in EPCO grading (95% CI for mean difference: - 0.2 ± 1.5), in POCO grading (95% CI for mean difference: 1.6 ± 2.7) and in AQUA I (95% CI for mean difference: - 1.1 ± 1.9).
AQUA II is a system that for the first time not only objectively quantifies PCO, but also qualitatively assesses PCO in an automated manner with texture classification. AQUA II showed an excellent validity and repeatability.";;;"The system developed proved to classify six types of PCO. Validity was confirmed by a Pearson correlation coefficient of r = 0.95 (EPCO r = 0.93; POCO r = 0.72 and AQUA I r = 0.94). Repeatability was better in AQUA II (95% confidence interval [CI] for mean difference: 0.5 ± 1.2) than in subjective grading (95% CI for mean difference: 0.6 ± 1.7), in EPCO grading (95% CI for mean difference: - 0.2 ± 1.5), in POCO grading (95% CI for mean difference: 1.6 ± 2.7) and in AQUA I (95% CI for mean difference: - 1.1 ± 1.9).";;10.1186/s12886-019-1116-z;2019-05-19;[{'lastname': 'Kronschläger', 'firstname': 'Martin', 'initials': 'M', 'affiliation': 'Department of Ophthalmology, Vienna Institute for Research in Ocular Surgery (VIROS), Hanusch Hospital, Heinrich-Collin Str. 30, Vienna, Austria.'}, {'lastname': 'Siegl', 'firstname': 'Hannes', 'initials': 'H', 'affiliation': 'Institute of Electrical Measurement and Measurement Signal Processing, Graz Technical University, Graz, Austria.'}, {'lastname': 'Pinz', 'firstname': 'Axel', 'initials': 'A', 'affiliation': 'Institute of Electrical Measurement and Measurement Signal Processing, Graz Technical University, Graz, Austria.'}, {'lastname': 'Feichtenhofer', 'firstname': 'Christoph', 'initials': 'C', 'affiliation': 'Institute of Electrical Measurement and Measurement Signal Processing, Graz Technical University, Graz, Austria.'}, {'lastname': 'Buehl', 'firstname': 'Wolf', 'initials': 'W', 'affiliation': 'Department of Ophthalmology, Medical University of Vienna, Vienna, Austria.'}, {'lastname': 'Hirnschall', 'firstname': 'Nino', 'initials': 'N', 'affiliation': 'Department of Ophthalmology, Vienna Institute for Research in Ocular Surgery (VIROS), Hanusch Hospital, Heinrich-Collin Str. 30, Vienna, Austria.'}, {'lastname': 'Findl', 'firstname': 'Oliver', 'initials': 'O', 'affiliation': 'Department of Ophthalmology, Vienna Institute for Research in Ocular Surgery (VIROS), Hanusch Hospital, Heinrich-Collin Str. 30, Vienna, Austria. oliver@findl.at.'}]
142;31100353;Primary IOL implantation in children: the effect of the Infant Aphakia Treatment Study on practice patterns.;[];Journal of AAPOS : the official publication of the American Association for Pediatric Ophthalmology and Strabismus;We report the long-term effects on practice patterns at a single institution before (1995-2004) and after (2009-2018) publication of the results of the Infant Aphakia Treatment Study (IATS). The medical records of children <7 months of age who underwent cataract surgery at the Medical University of South Carolina were reviewed. The main outcome measure was the treatment with primary IOL or primary aphakia at the time of surgery. A total of 273 eyes of 183 patients were analyzed. Of the unilaterally affected eyes, primary IOL was the treatment of choice in 28 of the pre-IATS cases (61%) and 3 of the post-IATS cases (6%). In bilaterally affected eyes, primary IOL was the treatment of choice in 18 of the pre-IATS cases (47%) and 11 of the post-IATS cases (23%). According to a year-wise calculation, treatment with primary IOL began to decrease in 2010 and 2011, following publication of the 1-year results of the IATS in 2010. A drastic decrease in primary IOL occurred in 2015, following publication of the 5-year results.;;;;Copyright © 2019 American Association for Pediatric Ophthalmology and Strabismus. Published by Elsevier Inc. All rights reserved.;10.1016/j.jaapos.2018.12.013;2019-05-18;[{'lastname': 'Poole', 'firstname': 'Zachary B', 'initials': 'ZB', 'affiliation': 'Medical University of South Carolina, Charleston, South Carolina.'}, {'lastname': 'Trivedi', 'firstname': 'Rupal H', 'initials': 'RH', 'affiliation': 'Medical University of South Carolina, Charleston, South Carolina.'}, {'lastname': 'Wilson', 'firstname': 'M Edward', 'initials': 'ME', 'affiliation': 'Medical University of South Carolina, Charleston, South Carolina. Electronic address: wilsonme@musc.edu.'}]
145;31085933;Effect of Air Tamponade on Tilt of the Intraocular Lens after Phacovitrectomy.;['Intraocular lens', 'Phacovitrectomy', 'Tilt of intraocular lens'];Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift fur Augenheilkunde;"The aim of the study was to examine whether air tamponade has a significant effect on postoperative tilt of the intraocular lens (IOL) in combined phacoemulsification with implantation of an IOL and vitrectomy compared to balanced salt solution.
This randomized, controlled, monocentre study included patients scheduled for combined phacoemulsification with IOL implantation and pars plana vitrectomy. Patients were randomized for balanced salt solution or air tamponade. Postoperative tilt and decentration of the IOL were measured 2 months after surgery with a Purkinje meter.
Thirty-four patients were included into the analysis. Tilt of the IOL was on average 4.1 ± 1.9°, without significant differences between balanced salt solution and air tamponade (p = 0.462). Decentration of the IOL was on average 0.31 ± 0.14 mm, without significant differences between balanced salt solution and air tamponade (p = 0.42).
Air tamponade does not induce significantly more tilt or decentration of the IOL in combined phacoemulsification and vitrectomy compared to balanced salt solution. Potentially, this may not hold true for cases with a capsulorhexis that does not overlap the IOL optic.";;;Thirty-four patients were included into the analysis. Tilt of the IOL was on average 4.1 ± 1.9°, without significant differences between balanced salt solution and air tamponade (p = 0.462). Decentration of the IOL was on average 0.31 ± 0.14 mm, without significant differences between balanced salt solution and air tamponade (p = 0.42).;© 2019 S. Karger AG, Basel.;10.1159/000499116;2019-05-16;[{'lastname': 'Leisser', 'firstname': 'Christoph', 'initials': 'C', 'affiliation': 'VIROS - Vienna Institute for Research in Ocular Surgery, Karl Landsteiner Institutes, Hanusch Hospital, Vienna, Austria.'}, {'lastname': 'Hirnschall', 'firstname': 'Nino', 'initials': 'N', 'affiliation': 'VIROS - Vienna Institute for Research in Ocular Surgery, Karl Landsteiner Institutes, Hanusch Hospital, Vienna, Austria.'}, {'lastname': 'Findl', 'firstname': 'Oliver', 'initials': 'O', 'affiliation': 'VIROS - Vienna Institute for Research in Ocular Surgery, Karl Landsteiner Institutes, Hanusch Hospital, Vienna, Austria, oliver@findl.at.'}]
146;31078538;A Model to Predict Postoperative Axial Length in Children Undergoing Bilateral Cataract Surgery With Primary Intraocular Lens Implantation.;[];American journal of ophthalmology;"To develop a model for predicting postoperative globe axial length (AL) in children undergoing bilateral cataract surgery with primary intraocular lens (IOL) implantation in children older than 2 years.
Retrospective case series.
Children were included only if AL data were available for both eyes before surgery and at least 1 year after surgery. We analyzed variables that could influence globe axial growth and developed a multivariable generalized estimating equation regression model to predict postoperative AL.
Sixty-four children were included. The median age at surgery and at follow-up was 5.1 and 12.5 years, respectively. AL measurements were obtained in both eyes during 242 visits. The median AL before and at last follow-up was 22.2 and 23.1 mm, respectively. Beta value for the final model to predict postoperative AL is as below: intercept (1.93), preoperative AL (0.91), age at cataract surgery (-0.07), age at follow-up (0.14), and interaction between age at surgery and age at follow-up (-0.005). Using this model, for a hypothetical patient operated at 2.5 years of age with a 20.5 mm AL would be estimated to have a 22.8 mm AL at 18 years of age.
IOL power selection is a major challenge of pediatric cataract surgery attributable to unpredictable future eye growth. This model theoretically could be used to predict individual future adult size AL for each child undergoing cataract surgery, helping the surgeon to customize the selection of an IOL power at implantation and also to help the parents understand what to expect.";IOL power selection is a major challenge of pediatric cataract surgery attributable to unpredictable future eye growth. This model theoretically could be used to predict individual future adult size AL for each child undergoing cataract surgery, helping the surgeon to customize the selection of an IOL power at implantation and also to help the parents understand what to expect.;;Sixty-four children were included. The median age at surgery and at follow-up was 5.1 and 12.5 years, respectively. AL measurements were obtained in both eyes during 242 visits. The median AL before and at last follow-up was 22.2 and 23.1 mm, respectively. Beta value for the final model to predict postoperative AL is as below: intercept (1.93), preoperative AL (0.91), age at cataract surgery (-0.07), age at follow-up (0.14), and interaction between age at surgery and age at follow-up (-0.005). Using this model, for a hypothetical patient operated at 2.5 years of age with a 20.5 mm AL would be estimated to have a 22.8 mm AL at 18 years of age.;Copyright © 2019 Elsevier Inc. All rights reserved.;10.1016/j.ajo.2019.04.018;2019-05-13;[{'lastname': 'Trivedi', 'firstname': 'Rupal H', 'initials': 'RH', 'affiliation': 'Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina, USA. Electronic address: trivedi@musc.edu.'}, {'lastname': 'Barnwell', 'firstname': 'Eliza', 'initials': 'E', 'affiliation': 'Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina, USA.'}, {'lastname': 'Wolf', 'firstname': 'Bethany', 'initials': 'B', 'affiliation': 'Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina, USA.'}, {'lastname': 'Wilson', 'firstname': 'M Edward', 'initials': 'ME', 'affiliation': 'Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina, USA.'}]
